ROUTE_B_NUMBER,ROUTE_F_NUMBER,ROUTE_T_NUMBER,ROUTE_ABBR,MAP_COLOR_NAME,HAPROD_NUMBER,COMPASS_DIR_NAME,FROM_STATION,TO_STATION,FROM_STATION_CH3_ABBR,TO_STATION_CH3_ABBR,FROM_STATION_O_NUM,TO_STATION_O_NUM
1,2,0,CD,YELLOW  ,24,WEST ,WEST PITTSBURG      ,S.F. AIRPORT        ,C80,Y10,41,38
2,1,0,DC,YELLOW  ,42,EAST ,S.F. AIRPORT        ,WEST PITTSBURG      ,Y10,C80,38,41
3,4,0,FR,ORANGE  ,13,NORTH,FREMONT       ,RICHMOND,A90,R60,9,25
4,3,0,RF,ORANGE  ,31,SOUTH,RICHMOND,FREMONT,R60,A90,25,9
5,6,0,FD,GREEN   ,14,WEST ,FREMONT        ,DALY CITY           ,A90,M90,9,34
6,5,0,DF,GREEN   ,41,EAST ,DALY CITY           ,FREMONT,M90,A90,34,9
7,8,0,RD,RED     ,34,WEST ,RICHMOND,MILBRAE             ,R60,W40,25,39
8,7,0,DR,RED     ,43,EAST ,MILBRAE             ,RICHMOND,W40,R60,39,25
11,12,0,LD,BLUE    ,56,WEST ,EAST DUBLIN / PLEAS ,DALY CITY           ,L30,M90,46,34
12,11,0,DL,BLUE    ,65,EAST ,DALY CITY           ,EAST DUBLIN / PLEAS ,M90,L30,34,46
13,14,0,MO,VIOLET  ,46,NORTH,MILBRAE             ,S.F. AIRPORT        ,W40,Y10,39,38
14,13,0,OM,VIOLET  ,64,SOUTH,S.F. AIRPORT        ,MILBRAE             ,Y10,W40,38,39
